bobble,குமிழ்
relaxed position,தளர்வான நிலை
summers,கோடை காலம்
denims,டெனிம்ஸ்
jerk,ஜெர்க்
mock,கேலி
mocking,கேலி
making fun,வேடிக்கை
owl,ஆந்தை
april fool,ஏப்ரல் முட்டாள்
happy april fool's day,இனிய ஏப்ரல் முட்டாள் நாள்
happy april fools day,இனிய ஏப்ரல் முட்டாள்கள் நாள்
dumbo,டம்போ
budhdhu,இடியட்
no brain,மூளையற்ற
chutia,சுவை
Deja Chu,சூவை விட்டு விடுங்கள்
deja vu,ஏற்கனவே பார்த்தேன்
bewakoof,மூளை இல்லாதது
april fool day prank,ஏப்ரல் முட்டாள் நாள் குறும்பு
pranking,குறும்பு
prankster,பொய்க்கால்
unexpected,எதிர்பாராத
umeed,எதிர்பார்க்கலாம்
expectations,எதிர்பார்ப்புகள்
lots of fun,நிறைய குதூகலம்
Khotte De Puttar,கோட்டே டி புட்டார்
gadha,கழுதை
angry girl,கோபமான பெண்
punjabi cuss words,punjabi cuss சொற்கள்
punjabi gaali,பஞ்சாபி துஷ்பிரயோகம்
costume,உடையில்
t-shirt,சட்டை
Gujarati Green Chutney,குஜராத்தி பச்சை சட்னி
Green Chatni,பச்சை சட்னி
Kakori kebab,ககோரி கபாப்
Shami kebab,ஷமி கபாப்
Kalmi kebab,கல்மி கபாப்
Tunde ke kabab,டண்டே கே கபாப்
Sambhali kebab,சம்பாலி கபாப்
Galawati,கலாவதி
Bihari kebab,பிஹாரி கபாப்
Boti kebab,கேரட் கேக்
Seekh Kebab,சீக்கிய கபாப்
Reshmi kebab,பட்டு கபாப்
Tikka kebab,ஈட்டிகள் கபாப்
Tangdi kebab,tang dike baba
Kaleji kebab,உப்பு கபாப்
Hariali chicken kebab,ஹரியாலி சிக்கன் கபாப்
mithi chatni,இனிப்பு சாஸ்
Pyarvyar,காதல்
holiwithcolour,ஹோலிவித் கலர்
Auto rickshaw,ஆட்டோ ரிக்‌ஷா
Electric Auto Rickshaw,எலக்ட்ரிக் ஆட்டோ ரிக்‌ஷா
Roll Over Kebab Zirakpur,கபாப் ஷிராக்பூரை உருட்டவும்
Kababs N Roll,கபாப்ஸ் என் ரோல்
Chicken Kathi Kebab rolls,சிக்கன் கதி கபாப் உருளும்
Geela,ஒட்டகம்
Romaal,காதல்
Funny Shayari,வேடிக்கையான ஷயாரி
Kya Mazak Hai,என்ன ஒரு நகைச்சுவை
Pampers Pant Style Diapers,பாம்பர்ஸ் பான்ட் ஸ்டைல் ​​டயப்பர்கள்
SRIM Reusable cotton nappy,SRIM மீண்டும் பயன்படுத்தக்கூடிய பருத்தி துடைப்பம்
Littly Cushioned Cloth Nappies,கொஞ்சம் மெத்தை துணி துணிகளை
LANGOTS,லாங்கோட்டஸ்
Huggies Wonder Pants,ஹக்கிஸ் வொண்டர் பேன்ட்
Mamy Poko Pants,எங்களிடம் போகோ பேன்ட் உள்ளது
hag ke hath dhota nai,என் கைகளை கழுவ வேண்டும்
Chori kiya maal wapis hota nai,திருடப்பட்ட பொருட்கள் திருப்பித் தரப்படுகின்றன
Open defecation,திறந்த மலம் கழித்தல்
खुले में शौच यानी बीमारियों को निमंत्रण,திறந்த மலம் கழித்தல் என்றால் நோய்களுக்கான அழைப்பு
Vidya Balan,வித்யா பாலன்
Nirmal Bharat Abhiyan,நிர்மல் பாரத் அபியான்
jaha soch waha shauchalaya,ஒரு கழிப்பறை இருக்கும் இடத்தில்
Bad Boy,பேட் பாய்
Chori Chori,திருட்டுத்தனமாக
Ajay Devgan,அஜய் தேவ்கன்
Rani Mukerji,ராணி முகர்ஜி
Sonali Bendre,சோனாலி பெண்ட்ரே
Chori Chori Chupke Chupke,சோரி சோரி சுப்கே சுப்கே
robber,கொள்ளையன்
thievery,திருடன்
shoplifting,கடை திருட்டு
Petsaaf,பெட்சாஃப்
suhaanmosam,நல்ல மாலை
Wheel,சக்கரம்
Active Wheel,செயலில் சக்கரம்
Ariel Matic Detergent,ஏரியல் மேடிக் சவர்க்காரம்
Washing Powders,சலவை பொடிகள்
doodh si safedi nirma se aaye,பால் வெண்மை நிர்மாவிடமிருந்து வந்தது
Rangeen kapda...,வண்ணமயமான ஆடைகள் ...
tum husn pari nirma,அழகான தேவதை
Confident chora,நம்பிக்கையான சோரா
honda,ஹோண்டா
kya baat,என்ன விஷயம்
Kar raha hai,செய்து கொண்டிருக்கிறது
Phutaikhane,புட்டைகானே
Chappals,செருப்புகள்
hercules,ஹெர்குலஸ்
hera pheri,ஹேரா பெரி
Junaid,ஜுனைத்
Hercules Roadeo,ஹெர்குலஸ் ரோடியோ
Hercules MTB,ஹெர்குலஸ் எம்டிபி
Hercules Roadsters,ஹெர்குலஸ் ரோட்ஸ்டர்ஸ்
kitne aadmi the,எத்தனை ஆண்கள் இருந்தார்கள்
gabbar singh,கபார் சிங்
SOOWAR KE BACHCHO,பன்றிகள் அல்லது கன்றுகள்
ab.. goli kha,இப்போது .. மாத்திரையை சாப்பிடுங்கள்
Khariyat ki maa,கைர்யாத்தின் தாய்
ko Dhakka de,தள்ளுங்கள்
push,மிகுதி
dhakka mukki,புஷ் பஞ்ச்
dhakka laga bukka,தக்கா போன்ற புக்கா
Yuva,இருக்கை
Abhishek Bachchan,அபிஷேக் பச்சன்
Kareena Kapoor,கரீனா கபூர்
A R Rahman's,ஒரு ஆர் ரஹ்மானின்
Maa Tu Kaha Meri Maa,அம்மா நீ என் அம்மா சொன்னாய்
pagri,டர்பன்
goldchain,தங்கச்சின்
blacktshirtpajji,blacktshirtpajji
yo yo,என்னை நான்
punjabimunda,punjabimunda
changahai,சாங் ஹை
Bluetshirtpajji,புளூட்ஷிர்த்பஜ்ஜி
pajji,நாடு
swaadisht,swaadisht
guns,துப்பாக்கிகள்
redshirtpajji,redshirtpajji
bandook,ஷாட்கன்
dobandook,dobandook
rum,ரம்
vodka,ஓட்கா
desidaru,desidaru
icemarke,icemarke
greentshirtpajji,greentshirtpajji
kihaalayaji?,அருங்காட்சியகங்கள்?
greentshirt,greentshirt
ki haal,யார் ஹால்
goldlocket,கோல்ட்லாக்கெட்
redshirt,சிவப்பு சட்டை
jhappiyantepappiyan,அணைத்துக்கொள்கிறார்
jaadukijhappi,மேஜிக்
tighthug,இறுக்கமான
bearhug,bearhug
gedimaartehai,gedimaartehai
blueshirt,நீல நிற சட்டை
kaake,யாருக்கு
bulletraja,புல்லட்ராஜா
royalenfield,ராயல் என்ஃபீல்டு
motorbike,மோட்டார் பைக்
redbike,ரெட் பைக்
redbullet,redbullet
greenbottle,கிரீன் பாட்டில்
skulltshirt,மண்டை ஓடு
kitthehai,கித்தே
