ribbions,റാബിയോൺസ്
smog,പുകമഞ്ഞ്
dhuaa,പുക
jada,ജഡ
jokermovie,ജോക്കർമോവി
quotes,ഉദ്ധരണികൾ
chhathpooja,ചാത്തൂജ
jhukam,വില്ലു
chhik,തുമ്മുക
sikh,സിഖ്
aajkavichaar,സാമൂഹിക ചിന്ത
vichaar,വിചാർ
qoutes,qoutes
pradushan,മലിനീകരണം
aajkavichar,aajkavichar
Ujdachaman,ശൂന്യമാണ്
bald,കഷണ്ടി
takla,സൊമെര്സൌല്ത്
bala,ഒന്നുമില്ല
dabanng,അമിതഭാരം
dabbang,dabbang
guruparv,ഗുരുപർവ
nanaksaheb,നങ്കാസാഹേബ്
nanaknaam,നനൈകിനമ്
gurunanakjayanti,ഗുരുനങ്കജയന്തി
nehruji,നെഹ്‌റു
nametattoo,പേര് ടാറ്റൂ
boytattoo,ബോയ് ടാറ്റൂ
marryme,എന്നെ വിവാഹം കഴിക്കൂ
briidle,briidle
navy,നേവി
HumanRights,മനുഷ്യാവകാശം
insaaf,നീതി
adhikaar,വലത്
thhand,thhand
adarak,ഇഞ്ചി
mng,mng
shadi,കല്യാണം
adhikar,വലത്
nyaya,നീതി
nya,പുതിയ
samanata,സമത്വം
pyala,കപ്പ്
pratah,രാവിലെ
chaai,ചായ
WFH,WFH
oss,ഞങ്ങളെ
hali,അവസ്ഥ
zikham,ഒട്ടകങ്ങൾ
3idiot,ഈദ്
bacchcha,കാളക്കുട്ടിയെ
hashi,പാലം
majak,തമാശ
chill goa,ചില്ല ഗോവ
forkyou,forkyou
faty,തടിച്ച
bhukkad,വിശക്കുന്നു
feelinglow,ഫീലിംഗ്ലോ
yesorno,പ്ലാസ്റ്റർ
quetion,ചോദ്യം
patra,പത്ര
kisan,ഓട്ടം
farmar,ഫാർമർ
srinivasa,ശ്രീനിവാസ
ramanujan,രാമനുജൻ
merrychristmas,സന്തോഷകരമായ ക്രിസ്മസ്
hohoho,ഹോഹോ
1st,ഒന്നാം സെൻറ്
31st,31
athome,വീട്ടിൽ
peepawali,peepawali
rehpta,rehpta
rapata,റാപാറ്റ
chaalan,ഇൻവോയ്സ്
chalan,ബാലനെ
2020,2020
gobind,gobind
aaachhoooo,വരൂ
not well,സുഖമില്ല
kya h,എന്താണ്
bol na,ഓണായിരുന്നു
bht kaam hai,ഭട്ട് ജോലിയാണ്
mil kar,ഒരുമിച്ച്
mil,ആയിരം
muhaa,സ time ജന്യ സമയം
mhaa,ഇല്ല
you melt,നിങ്ങൾ ഉരുകുന്നു
dil pighal gaya,ഹൃദയം ഉരുകി
zindgi,ജീവിതം
love is life,സ്നേഹമാണ് ജീവിതം
luv life,ലൈവ് ജീവിതം
lots of kisses,ഒരുപാട് ചുംബനങ്ങള്
muwah,മുവാ
muuhha,മുഹാഹ
Dekh pagli,ദേഖ് പഗ്ലി
love joke,ലവ് തമാശ
pyar ho jayega,പ്രണയത്തിലാകും
make joke,തമാശ പറയുക
no limit,പരിധിയില്ല
without limits,പരിധിയില്ലാതെ
luv you,നിങ്ങളെ സ്നേഹിക്കുന്നു
Happy Birthday Hrithik,ജന്മദിനാശംസകൾ r ത്വിക്
hrithik birthday,ഹൃത്വിക് ജന്മദിനം
hrithik,ഹൃത്വിക്
Happy b'day,ജന്മദിനാശംസകള്
Hrithik b'day,R ത്വിക് ബി
10th jan,പത്താം ജനുവരി
lohdi,ലോഹ്രി
lohadi,കിന്നാരം
makarsankrati,മകര്സന്ക്രതി
youthday,യുവജന ദിനം
vivekanandajayanti,വിവേകാനന്ദജയന്തി
26th,26
janauary,ജനുവരി
swadeshi,swadeshi
gantantra,റിപ്പബ്ലിക്
matrimony,മാട്രിമോണി
matrimonial,മാട്രിമോണിയൽ
kone,മെഷീൻ
biba,ബിബ
Biye,ബി.ഐ.
bibaho,വിവാഹം
bodhu,മണവാട്ടി
khujchen,തിരയുന്നു
porinoy,പരിണതഫലങ്ങൾ
chele,പയ്യൻ
biyer,വിവാഹം
jibonshongi,ഹോൾഡിംഗ് ടെക്നിക്
jeewansathi,ആത്മാവ് ഇണ
ABP,എബിപി
shubhratri,ഗുഡ് നൈറ്റ്
wa,തുക
mistha,മധുരം
meetha,മധുരം
nav vadhu,ഒൻപത് കൂടുതൽ
var,ആയിരുന്നു
vadhushodh,കശാപ്പ്
lagn,വിവാഹം
muli,വീണ്ടും
shodhat,shodhat
ABP Weddings,എ ബി പി വിവാഹങ്ങൾ
chaha,വിൽസ്
caha,caha
','
vasant,വസന്തം
basant,ബേസിംഗ്
world cancer day,ലോക കാൻസർ ദിനം
be strong,ധൈര്യമായിരിക്കുക
Happy Teddy Day,ടെഡി ദിനാശംസകൾ
Happy Kiss Day,ചുംബന ദിനാശംസകൾ
Love You Baby,ലവ് യു ബേബി
i miss you,നിന്റെ അസാനിധ്യം ഞാൻ അനുഭവപ്പെടുന്നു
i am sorry,എന്നോട് ക്ഷമിക്കൂ
maaf kardo,ക്ഷമിക്കണം
hi sweetu,ഹായ് സ്വീറ്റൂ
i am yours,ഞാൻ നിന്റെയാണ്
iloveu,iloveu
valentines day,വാലന്റൈൻസ് ഡേ
14th feb,14 ഫെബ്രുവരി
love week,പ്രണയ ആഴ്ച
kissed,ചുംബിച്ചു
soosoo,soosoo
ful,ഫുൾ
flowrers,പൂക്കൾ
cheff,ഷെഫ്
i love you too,ഞാൻ നിന്നെയും സ്നേഹിക്കുന്നു
dairy milk,ഡയറി മിൽക്ക്
on way,വഴിയിൽ
love you too,നിന്നെയും സ്നേഹിക്കുന്നു
prpmise day,വാഗ്ദാന ദിവസം
forever together,എന്നേക്കും ഒരുമിച്ച്
happy hug day,സന്തോഷകരമായ ആലിംഗന ദിവസം
hug me,എന്നെ ആലിംഗനം ചെയ്യൂ
chummah,ചുംബനം
pinky promise,പിങ്കി വാഗ്ദാനം
together forever,എല്ലായ്പ്പോഴും ഒരുമിച്ച്
waving hand,കൈ നീട്ടുന്നു
of course,തീർച്ചയായും
absolutely,തികച്ചും
uh-huh,ക്ഷമിക്കണം
jogging,ജോഗിംഗ്
yawn,അലറുക
home work,ഹോം വർക്ക്
hey wassup,എന്തൊക്കെയുണ്ട്
greate,ഗ്രേറ്റ്
grocery time,പലചരക്ക് സമയം
chill book,ചില്ല് ബുക്ക്
tution,ട്യൂഷൻ
sweet dreams,മധുരസ്വപ്നങ്ങൾ
what you doin,നിങ്ങൾ ചെയ്യുന്നതെന്താണ്
how you doin,എങ്ങനെയിരിക്കുന്നു
waddup,waddup
great job,മികച്ച ജോലി
Mind blowing,മനസ്സ് ing തുന്നു
wasup,വാസപ്പ്
see you,കാണാം
bbye,bbye
take care,ശ്രദ്ധപുലർത്തുക
takeoff,വിമാനം പുറപ്പെടുക
goodl luck,നല്ലതുവരട്ടെ
happy shivratri,ശിവരാത്രി ആശംസകൾ
shiv ji,ശിവൻ
bhole nath,ഭോലെ നാഥ്
maha dev,മഹാ ദേവ്
new york,ന്യൂയോര്ക്ക്
let's play holi,നമുക്ക് ഹോളി കളിക്കാം
bura na mano holi hai,ഹോളി കാര്യമാക്കേണ്ടതില്ല
gujiya,ഗുജിയ
holi shit,ഹോളി ഷിറ്റ്
poty,പൊട്ടൻ
karona,കാരണം
virus,വൈറസ്
covid,covid
china,ചൈന
bimari,രോഗം
carona,കരോണ
face mask,മുഖംമൂടി
corona virus,കൊറോണ വൈറസ്
covin-19,ചൊവിന്-19
covin,ചൊവിന്
janta curfew,ജന്ത കർഫ്യൂ
curfew,കർഫ്യു
jai maa,ഇംഗ് വാട്ടർ
maa durga,മാ ദുർഗ
stay home,വീട്ടിൽ തന്നെ തുടരുക
kanjake,രോഗിയുടെ വീട്
jor se bolo,ഉറക്കെ സംസാരിക്കുക
pyaaz,സവാള
pyaz,സവാള
ullu banaya,വിഡ് led ിത്തം
khotta,പൂപ്പൽ
bevkoof,ഇഡിയറ്റ്
dumboo,ആമാശയം
hawa ane de,വായുവും പകലും
sex,ലൈംഗികത
dirtytalks,വൃത്തികെട്ട സംസാരം
gandibaat,ഗാണ്ടിബാത്ത്
boobs,മുലകൾ
dickpick,ഡിക്ക്പിക്ക്
dick,ഡിക്ക്
18plus,18 പ്ലസ്
ungali,നിരസിക്കരുത്
campa,ഫീൽഡ്
bachaa,bachaa
ghapaghap,ഘപഗാപ്പ്
footprint,കാൽപ്പാടുകൾ
chummaa,chummaa
jummaa,കമ്മ്യൂണിറ്റി
candal,മെഴുകുതിരി
wallnuts,വാൾനട്ട്
choodi,ചുഡി
bangals,വളകൾ
chudiayan,ഹോ അയൻ
cokacola,കൊക്കകോള
vehicle,വാഹനം
tampoo,ടാംപൂ
londaon,ലൊംദൊന്
ghantaghar,ക്ലോക്ക് ടവർ
gandi baat,ബാറ്റ് സൈനികൻ
baate,സംസാരിക്കുന്നു
lets talk,സംസാരിക്കാം
video call,വീഡിയോ കോൾ
ghosala,ഘോസ്ല
bhens,എരുമ
buffelo,ബഫെലോ
khira,കുക്കുമ്പർ
cacumber,വെള്ളരിക്ക
shampoo,ഷാംപൂ
momo,പീച്ച്
four,നാല്
n,n
aach,aach
fecture,ഫീച്ചർ
raghunath,രഘുനാഥ്
ramji,രാംജി
jai ram,ജി റാം
Work from home,വീട്ടിൽ നിന്ന് ജോലി ചെയ്യുക
lockdown,ലോക്ക്ഡ .ൺ
broadband,ബ്രോഡ്‌ബാൻഡ്
low network,കുറഞ്ഞ നെറ്റ്‌വർക്ക്
karfue,കർഫ്യൂ
skype,സ്കൈപ്പ്
Quarentine,കപ്പല്വിലക്ക്
being useless,ഉപയോഗശൂന്യമായി
diyaa,ഡയ
deeya,ഡയ
diye,ആ
ramayan,രാമായണം
avashaya,avashaya
laxman,ലക്ഷ്മൺ
kadapi nahi,ഒരിക്കലും
tathastu,പിന്നെ
krishn,കൃഷ്ണ
mahabharat,മഹാഭാരതം
kriishna,കൃഷ്ണ
minut,മിനിറ്റ്
shan,പർവ്വതം
kans,അവസരം
asanbhav,അസാധ്യമാണ്
mackup,മുകുപ്
meckup,meckup
Hanuman ji,ഹനുമാൻ പ്രഭു
bajrangbali,ബജ്രംഗബാലി
hanuman jayanti,ഹനുമാൻ ജയന്തി
Skills,കഴിവുകൾ
gloomy,ഇരുണ്ട
horrid,ഭയാനകം
somber,ശാന്തൻ
terrible,ഭയങ്കര
glum,ഗ്ലം
bleak,ഇരുണ്ട
ominous,ominous
tv show,ടെലിവിഷന് പരിപാടി
joyful,സന്തോഷകരമായ
upbeat,ഉത്സാഹം
terror,ഭീകരത
panic,പരിഭ്രാന്തി
chiller,ചില്ലർ
fright,ഭയം
detestation,വെറുപ്പ്
pal,pal
defender,ഡിഫെൻഡർ
guardian angel,കാവൽ മാലാഖ
chudap,ഉപേക്ഷിക്കൽ
separation,വേർപിരിയൽ
split,രണ്ടായി പിരിയുക
sovereignty,പരമാധികാരം
jahnda,ജഹന്ദ
15 August,ഓഗസ്റ്റ് 15
savan,സവാൻ
lively,ജീവസ്സുറ്റ
protection,പരിരക്ഷണം
sayings,വാക്കുകൾ
offended,ഇടറിപ്പോയി
irritable,പ്രകോപിപ്പിക്കരുത്
outraged,പ്രകോപിതനായി
billy,ബില്ലി
mandy,മാണ്ടി
CN,സി.എൻ.
scythe,അരിവാൾ
reaper,റീപ്പർ
olymics,ഒളിമ്പിക്സ്
golf,ഗോൾഫ്
august,ഓഗസ്റ്റ്
chauka,വിലകുറഞ്ഞ
mythology,പുരാണം
kingdom,രാജ്യം
feminist,ഫെമിനിസ്റ്റ്
nari,ആകുക
dhasu,ധാതു
nautanki,ജിമ്മിക്ക്
netaji,നെതാജി
corruption,അഴിമതി
quarter,പാദം
baapu,അച്ഛൻ
terabaap,ടെറാബാപ്പ്
abbu,അച്ഛൻ
kunwara,ബാച്ചിലർ
chokra,നന്ദി
glamor,ഗ്ലാമർ
pepe,pepe
goalhai,ഗോൾഹായ്
nobhita,nobita
gadgets,ഗാഡ്ജറ്റുകൾ
futuristic,ഫ്യൂച്ചറിസ്റ്റ്
shizuka,ശാന്തം
hungama,റക്കസ്
ramdan,രാംദാൻ
habibi,എന്റെ പ്രണയം
apocalypse,അപ്പോക്കലിപ്സ്
walkingdead,വോക്കിംഗ് ഡെഡ്
zodiac,രാശിചക്രം
rashifal,റാഷിഫാൽ
capricon,കാപ്രിക്കോൺ
kundli,ജാതകം
frank,തുറന്നുസംസാരിക്കുന്ന
springfield,സ്പ്രിംഗ്ഫീൽഡ്
dysfunctional,പ്രവർത്തനരഹിതമാണ്
cartoonnetwork,ചര്തൊഒംനെത്വൊര്ക്
glue,പശ
shin,ഷിൻ
chan,ചാൻ
japanese,ജാപ്പനീസ്
crayon,ക്രയോൺ
mitsi,മിത്സി
turtles,ആമകൾ
teenage,കൗമാരക്കാർ
amell,amell
tmnt,അവൾ ആഗ്രഹിച്ചു
familyguy,familyguy
griffin,ഗ്രിഫിൻ
students,വിദ്യാർത്ഥികൾ
rokda,പണം
chichore,ആഴം
velle,ഇതിനായി
vella,വൃദ്ധ
harami,ഹരാമി
sadakchap,റോഡ് റെയ്ഡ്
bb,bb
vines,മുന്തിരിവള്ളികൾ
bbkivines,bbkivines
bancho,ബാഞ്ചോ
sameer,സമർ
youtube,യൂട്യൂബ്
hola,ഹലോ
bhuvan,ഭുവൻ
bham,ഭാം
youtuber,youtuber
perk,പെർക്ക്
howudoing,ഹൗഡോയിംഗ്
saheli,സുഹൃത്ത്
brosbeforehoes,brosbeforehoes
Pranayam,Pranayam
yogapants,യോഗ പാന്റുകൾ
meditation,ധ്യാനം
awakening,ഉണർത്തൽ
onepiece,ഒരു കഷ്ണം
onepunchman,onepunchman
deathnote,മരണക്കുറിപ്പ്
manga,മംഗ
animegirl,animegirl
naruto,നരുട്ടോ
blackbutler,കറുത്ത ബട്ട്‌ലർ
alchemist,ആൽക്കെമിസ്റ്റ്
bleach,ബ്ലീച്ച്
sakura,സകുര
ads,പരസ്യങ്ങൾ
branding,ബ്രാൻഡിംഗ്
brand,ബ്രാൻഡ്
advertisment,പരസ്യം
shahi,ഷാഹി
loveme,എന്നെ സ്നേഹിക്കൂ
mylove,എന്റെ പ്രണയം
shikanji,ഷിക്കഞ്ചി
mutants,മൃഗങ്ങൾ
xavier,സേവ്യർ
chakdefatte,chakdefatte
pind,ഉപരിതലം
kattappa,കത്തപ്പ
thebeginning,ആരംഭം
blockbuster,ബ്ലോക്ക്ബസ്റ്റർ
theconclusion,പരിസമാപ്തി
bahubali2,ബാഹുബലി 2
disneyland,ഡിസ്‌നിലാൻഡ്
channel,ചാനൽ
disneyxd,disneyxd
waltdisney,വാള്ട്ട് ഡിസ്നി
khaalijeb,സാങ്കൽപ്പികം
captainamerica,ക്യാപ്റ്റൻ അമേരിക്ക
civilwar,ആഭ്യന്തരയുദ്ധം
blackpanther,ബ്ലാക്ക്പാന്തർ
tonystark,ടോണിസ്റ്റാർക്ക്
steverogers,സ്റ്റീവറോജറുകൾ
hawkeye,ഹോക്കി
bhaklol,വിചിത്രമായ
sasura,അമ്മായിയപ്പൻ
hamaar,ഞങ്ങളുടെ
tuhaar,കാണിക്കുക
lagawelu,അറ്റാച്ചുമെന്റ്
wonderwoman,അത്ഭുത സ്ത്രീ
khayegakela,ഖൈഗെകെല
potter,കുശവൻ
