bobble,ڪوبہ
brownjacket,ناسي جيڪٽ
purpleshirt,پرچي قميص
bluepants,نيري پتلون
scott,اسڪاٽ
bluejumpsuit,نيرو جمپسوٽ
yellowmask,پيلو ماسڪ
yellowband,پيلو بينڊ
marcel,مارسل
blue pant,نيري پينٽ
brownshoes,brownshoes
WeWereOnABreak!,WeWereOnABreak ڪمرو هو!
rachel,راخل
rossgeller,راسگلر
rach,روچ
blueskirt,نيري اسڪرٽ
rachelgreen,ريچلين گرين
tagjones,tagjones
monicageller,منوگيلر
Therachel,تھرلر
haircut,وار ڪٽڻ
pheobe,فوبيو
pheebs,ٻوڙا
purplejacket,واڻائي
greenskirt,سائو سکرٽ
blueshoes,بلوشو
smellycatsmellycat,بدبودار ٻلي بدبودار ٻلي
cleanfreak,صفائي
redtop,ريٽو ٽاپ
NotJustClean,NotJustClean ناهي
MonicaClean!,مونيڪا صاف!
courtneycox,ڪورٽني ڪاڪس
joeytribbiani,جوئي ٽريببين
blackjacket,بليڪ بيڪ
bluepant,سڌو
pepperonipizza,پيپرونيوپازا
joeydoesn'tsharefood,جوئي خوراڪ جو حصيداري نٿو ڪري
mattleblanc,مٽيلي بلينڪ
Tribbiani'sEat,قبائلي کاڌي
ChickJr,ڪڪڙ
DuckJr,DuckJr
chandler,فنڊ ڪرڻ
chandlerbing,هلائيندڙ بنگ
howyoudoin?,ڪيئن؟
janice,جينيس
OhMyGod!,اوه منهنجا خدا!
animalprintjacket,جانورن جي پرنٽ جيڪٽ
orangepant,صوتي
whitetshirt,اڇي قميص
whiteshirt,اڇي قميص
I'mChandlerBing,I'mChandlerBing
SarcasmKing,سرزمين ڪنگ
brownsaree,برنيئر
goldensky,سوننڪسڪي
wings,پريون
brownsuit,ڀوري سوٽ
pinkorangeskirt,گلابيورنگ اسڪرٽ
goldchains,سون جي زنجير
violetsaree,ويليٽس ويئر
word,لفظ
command,حڪم
intrepid,ويران
fearless,نڈر
I'mFearless,مان بي خوف آهيان
bow and arrow,تير ۽ ڪمان
I'mBahubali,I'mBahubali
shivalinga,شيئولنگا
outlive,زنده رهڻ
flags,جهنڊو
yellowflags,زرد فلاگس
slave,ٻانهو
invaluable,انمول
whitedress,اڇو لباس
whitedupatta,whitupatta
muscular,مشڪور
orangecostume,نارنگي لباس
nosorry,نونصيري
nothankyou,نه سائين
purpletowel,پرولي
JawaniFirNaAye,جوان
yellowtie,پيلي
violetshirt,ويڙهاڪ بازو
pant,پينت
myself,مان پاڻ
madhuriDixit,ميڊورڊس
Nisha,نيشا
bluetooth,بلوٽوٽ
DivyaKaBodyguard,ديويا جي باڊي گارڊ
BlackShades,ڪارو پرديز
purpletshirt,پرولي قميص
TooMuchFun,تمام گهڻو
EkBaarJoCommitmentKarDi,هڪ دفعو نوڪري جو ڪارڊ
ApneAapKiBhiNahiSunta,پنهنجو ڪن نه ٻڌو
bluedenim,بلينڊنيم
blackshoes,ڪارا جوتا
pinkandwhitetshirt,گلابي ۽ اڇي قميص
border,سرحد
pakistan,پاڪستان
pavan,واء
munni,وات
yellowskirt,پيلو سکرٽ
bluetop,بليوٽوپ
blueheels,نيري ہیلس
purplegown,واڻائي
yellowhair,پيلا وار
longhairnocare!,ڊگهي هاڃيڪار!
longhair,وڏا وار
bluejewellery,نيري جورازي
blackhair,ڪارا وار
browndress,ناسي
bluegown,بليو گاؤن
bowandarrow,تير ۽ ڪمان
redhead,ڳاڙھو ڪنڌ
curlyhair,ڪنئليئر
aladdin,علاء
bluetiarra,بليوٽيرا
bluecostume,بلو اسٽيٽ
bluedress,نيرو لباس
platinumhair,پلاٽينم هير
moutains,جبل
crystalshoes,ڪرسٽلز
hairband,وارن جا وار
yellowgown,پيلو وارو
brownhair,ناسي وار
beast,جانور
blondehair,سونهري وار
pinkgown,گلابي جوؤن
pinkdress,گلابي لباس
mermaid,نانگ
redhair,ڳاڙھا وار
blueeyes,نيريون اکيون
lavenderseashellbra,لويندرشايشيلرا
greenfishtail,گرين مڇي
redjacket,ٻيهر ريجٽ
chutta,پڪي
yellowtop,پيلوٽو
piggy,سور جو سور
gullak,سورڪ بڪ
bluetshirt,بلو نيٽٽ
udhaarlena,قرض
rick,رک
metersejana,ميٽرجيانا
yellowgreenauto,پيلو گرينيٽو
sharingauto,شيئرنگ اوٽو
ChutteNahiHai,موڪل ڪانه
officephone,آفيس
CallKar,ڪال ڪار
redphone,ريڊ فون
starbucks,اسٽاربڪس
luxury!,عياشي!
gharkicoffee,ڳاڙھوڪوفي
bru,برو
nescafe,نسيفا
greentop,گرينٽوپ
BluejeansFromSarojini,سروجيني کان Bluejeans
pinkexpensivetop,گلابي اسپنيوسوٽوپ
purpleskirt,قميص
blueshorts,نيري شارٽس
freekidaru,فريڪيڊارو
bestdaru,بهترين دوارو
liqour,شراب
gareeb,غريب
nosalary,روزاني
blackpant,pنp
greenshorts,گرين شاورز
cushions,کشن
pinkcushion,گلابي کشن
beachfun,سمنڊ جو مزو
greentubetop,گرينٽو ٽيوپ
beachbum,سمنڊ ڪناري
poser,روڪيو
greenbikini,سائي سائي
outdoor,ٻاهريون
dermicool,dermicool
redpant,ڇانيل
beachbaby,سمنڊ جي بيبي
greendress,سائي لباس
poolchair,تلاءَ جي ڪرسي
beachmat,ساحل ميٽ
coconuttrees,ناريل جا وڻ
floats,فلوٽس آهن
underwater,پاڻيءَ جي هيٺ
nemo,نيمو
ferns,جاهواَ
pinkicecream,گلابي آئس ڪريم
YouKnowWhoIam,توهان ڪوٺيو
SayMyName,چئو ايم اين اي
pinkjacket,گلابي جيڪٽ
blonde,سونهري
brunette,سهڻي
line,لڪير
cocktail,ڪاڪي
redshorts,ڳاڙھو شارٽس
grass,گاهه
barf,ڇڪ
redwhiteblue,ريٽو بلائنٽ
beachlove,سمنڊ جي چاٻي
posers,پوسٽر
yellocape,ييلوڪوپ
pinkmask,گلابيسڪ
imfab,آئيماب
spidy,اسدائي مقابلو
spidermansuit,ڪوريئڙي وارن سوٽ
redblueblack,ريڊ بليڪ بيڪ
blackdress,ڪارو لباس
rdj,آر ڊي جي
robertdowneyjr,رابرٽ ڊائونر
ironmansuit,لوھ جو موزون
redyellow,سرخرو
greenskin,سائيڪي
vioeletshorts,وويوليڪٽ شارٽس
angryandhungry,ڪاوڙندي
captainamericasuitup!,ڪئپٽن آمريڪا سوٽ مٿي!
blueredwhite,بليو اڇلائي
dedhkilokahaath,ا andائي هٿ
strongarm,مضبوط هٿ
scarlett,اسڪارٽ
whatyoulookingat,توهان ڇا ڏسي رهيا آهيو
blackmask,ڪارو ماسڪ
black,ڪارو
emma,ايما
mike,مائيڪ
ryan,ريان
ryansuperstar,راڻي سپارٽر
redsuit,ٻيهر وٺڻ
horns,سینگ
ryancowboy,ريانڪي بوائي
lasso,لاسو
orangeboots,نارنگي ٻيڙيون
cowboyhat,چرواڪ ٽوپي
chandamama,چنڊ
nightsky,رات جو آسمان
casper,ڪيساسپر
reddress,ڪاٺ جو
devilhorns,شيطانن
cowgirl,ڳائيندڙ
cottage,ڪوٽيج
witchbroom,ڊائن وارو ڪمرو
greenwater,سائي پاڻي
bikini,بيڪيني
redbikini,redbikini
orangedress,سنتري
jacket,جيڪٽ
cutedress,ڪٽيڊريس
pup,ٻار
corgi,ڪورگي
violetdress,بنفشي جي دڪان
doggie,ڪتو
cutedog,ڪٽيڊوگ
browndog,گرائونڊ
happydog,خوشڊوگ
fashionista,فيشنسٽا
blouse,بلاؤز
bluesky,بليوسڪي
clearsky,ڪلارڪي
pinktop,گلابي ٽاپ
whiteskirt,اڇو اسڪرٽ
skateboard,اسڪيٽ بورڊ
skates,اسڪيٽٽس
cutepup,ڪٽيپپو
redband,ريڊ بينڊ
stocking,ذخيرو
blackswan,ڪاري ڪام
whiteswan,اڇو
entrechat,داخلا
gowmata,مارڻ
greensalwar,گرسائينال
purpledupatta,Purpleupatta
pinksalwar,گلزار
yellowdupatta,پيلوٽپٽ
dupatta,دوپٽا
salwarkameez,سالاروڪيز
chakkar,هڪ معاملو
yellosalwar,ييلوسوالوار
bluedupatta,بليوٽاٽا
roaming,رومنگ
swetatiwari,سواتيٽياري
redgamcha,ريگاما
moustache,مونچھون
yellowshirt,ييلوشرف
orangekurta,اورينگورتا
biharibhaiya,بهاريبيا
yellowsalwar,ييلوسوالوار
lalluswag,مٺا
greenkurta,گرينڪاٽتا
whitehair,اڇي وار
landline,زميني رستو
pinktshirt,گلابي قميص
fracture,ڇڪ
brownshorts,ناسي وارون
bheegi Gai,ٿڪجي ويو
redskirt,ڳاڙھو
yellowtshirt,پيلو شرٽ
purplepant,وا purpleڻائي
yellowpant,زرد پنن
bin,بن
desert,ريگستاني
plasticbagse,پلاسٽڪ جي بيڪ
greenpant,گرين وارو پن
uk,برطانيا
khullachange,ڪيچچينج
redshoes,ڳاڙھو ڇانو
pages,صفحا
suitup,سوٽپ
whitebeard,whitebard
Sun Lega,سنت ليگا
wand,ر wand
brownrags,سونهن
bigeyes,وڏيون اکيون
malnourished,خراب ٿي ويو آهي
browncostume,ناسي رنگ وارو
bahar aa,اهو نڪتو
KhelteHai,کيڏو
hairnocare,وارن جو ڪپڙو
abrakadabra,ابرقادابرا
voldemort,وارڊ مارٽ
nonose,nonose
badhabit,خراب عادت
whitedeer,اڇا
blackcape,ڪارو منظر
blackgown,ڪارو ڪاري
achibaat,ايچيباٽ
thenga,خريد
naturescall,قدرتي ڪال
chupbey,ڇپي
thikhai,تيز
daudtahai,هلائي ٿو
blueandwhite,نيرو ۽ اڇو
pinksando,گلابيڊو
redlehenga,رليگنگا
redblouse,لال بلاؤز
whitetop,اڇي
greenshirt,گرين شرٽ
seagreenshirt,دريائي گوڙ
orangedrapes,سنتري واريون
guruji,ماسٽر
banyan,بانوان
vest,بنیان
whitevest,اڇو سرمايو
orangetshirt,نارنگي شرٽ
temple,مندر آهي
orangetemple,نارنگي
mala,خراب
tubedress,ٽيوب جو لباس
littlegreendress,ننgي استاد
blazer,صاف ڪندڙ
blackpant',pٽي
gymwear,جمناسٽڪ
greypants,greypants
blacktop,بليڪ ڪوٽ
blackshorts,ڪارا شارٽز
yellowscarf,ييلوسوکارف
yellowflag,زرد فلاگ
youcrazydiamond,تون ڪروزازامونڊ
pinkblouse,گلابي ouseانچو
miley,ميلو
yellowcape,پيلو منظر
shinysuit,شينهن
yellowstole,پيلو اسٽيٽ
yellowdress,پيلو رنگ
polkadotblueskirt,پولڪا ڊاٽ نيري اسڪرٽ
orangejersery,سنتريجري
miyaabhai,ميان ڀائي
orangecape,orangecape
oraangeblackjersey,ياا بل بليڪجرسي
hyderabadi,حيدرآبادي
orangejersey,اورنگيجرسي
hyderabadijersey,هائيڊرباڊجرسي
orangeblack,اوري بليڪ
hyderabadicheer,حيدرابخير
hyderabadibiryaani,حيدرآباديبيبرياياڻي
tangdi,سوٽ
viraat,وڏي پيماني تي
redblackjersey,ريڊ بلڪ جرسي
cheerleaders,خوش مزاج
blondes,گوريون
whiteredsuit,اڇو
bandana,بينڊانا
challengers,چيلينجز
mallya,ماليا
macha,هڪ ميچ
aag,باھ
stump,اسٽمپ
redjersey,ريج جرسي
stadium,اسٽيڊيم
dimples,ماپ
redjersery,ٻيهر عاق ڪرڻ
whitepant,اڇي چمڪ
cap,ڪيپ
whitejacket,اڇي جيڪٽ
redkurta,ريڪٽ
whitedhoti,اڇي ٽوٽي
lassipot,لسيپٽ
yellowtrophy,پيلو ٽرافيون
redsalwar,لالسلور
reddupatta,ٻيڻو ڪيو ويو
ringmaster,رنگ ماسٽر
hashtag,هيش ٽيگ
fort,قلعو
killa,ڪليا
greenmoney,گرين ميني
seat,سيٽ
haalorehaalo,هيلو
ghagra,گگرا
orangeghagra,اورنگيگرا
orangesuit,نارنگي
dhoklashoklatecricket,ذوالكاشاڪوٽَ ڪرڪيٽ
orangetop,نارنگي ٽاپ
bluejersey,نيلي جرسي
silvertrophy,سلور ٽرافي
bluecap,بليو ڪيپ
handgloves,هٿَ
bleedblue,خونريزي
dillseindian,محنتي
halo,هيلو
bhagwaan,تقريبن
purplewings,وا purpleڻائي
balckpant,بيلڪ بيلٽ
greengrass,گرينگراس
purplesuit,واهپو
cheerleadercostume,خوش مزاج لباس
pompom,پمپس
stimp,stimp
purplesaree,پرسليئر
caution,احتياط
helmet,هيلميٽ
pinkshoes,گلابيشيون
bluettshirt,بلو نيٽٽ
har gaye,وڃايل
cellphone,سيل فون
pigtails,گوگه
wrapping,ويڙهڻ
greenshoes,سائيسو
chocolatecake,چاڪليٽ ڪيڪ
redgift,ٻيهر آڻيندي
whitegloves,اڇا چمڙا
bluesuit,بليوسائيٽ
silvergloves,چاندي جا داڻا
silverboots,چانديءَ جا بوٽ
bluejacket,نيري جیکٹ
yellowboots,پيلو بوٽ
purplehair,واڻائي وار
golden,سونهن
bluehandband,نيري هينڊبند
suitedup,ٺاهيو ويو
redtie,ريٽي
redbelt,لالچ
redflag,ڳاڙهو جهنڊو
van,کان
yellowvan,پيلويان
foolproof,بيوقوف
proof,ثبوت
heartshades,دليون
don'tbelieveyou,بي اعتمادي نه ڪريو
magicball,جادو بال
purpledress,واڻائي لباس
purplegloves,جامني رنگ جا گل
can't,نه ٿو ڪري سگهي
can'tfoolme,ناڪام ٿي نٿو سگهي
youcan'tfoolmetoday,توهان ا fool مون کي بيوقوف نٿا بڻائي سگهو
jokeysuit,jokeysuit
youfooledme,توهان مون کي بيوقوف بڻايو آهي
trustnoone,اعتماد ڪرڻ وارو ناهي
noone,ڪو به نه
whiteapron,اڇو تہبند
spatula,اسپتولا
yellowspoon,ييلو اسپون
apron,تہبند
Fractuew hogya,Fractuew ڪئين
pilaster bhi nai,پائلٽ پڻ
lagega,وٺندس
prevention is better,روڪ بھتر آھي
than cure,علاج کان
fracture in hip,هپ ۾ فرائيچر
hoshudjayenge,لرزيندو
redhojayega,رجوجا ڪندا
Dhol ki awazpe,ڊرم آواز
koi so,ڪوسو
nai sakta,نه ٿو ڪري سگھي
mujhepe,مان
ko shaq,ڪو شق
ho nahi sakta,نه ٿي سگھي
Dhol Bajake,ڊرمنگ
dhol freestyle,دهول فري اسٽائل
dholdhamaka,ڊرمر
mastiwithfriends,دوستاڻي دوستيون
dabangboy,لِڪي راند
Tumhaara intezaar,توهانجو انتظار ڪندي
karte karte,ڪارڊ ڪارڊ
main so gaya,مان سمھيس
Yeh dekho,هي ڏسو
mera  dhol,منهنجو ڊرم
time out ho gaya,وقت ختم ٿي ويو
Zamalu,گلن وارو
thele,زور ڏيڻ
chukandar,ٻڪري جي پوکي
BEETROOT,بيٽروٽ
BETA VULGARIS,بيٽا ورگرس
rich in antioxidants,آڪسيجن سان مالا مال
dietary fiber,غذائي فائبر
calcium,ڪيلسيم
potassium,پوٽاشيم
zamalukathela,اٽلي
Budda,ٻڌمت
padne,اڀرندس
RedRose,ڳاڙهو گلاب
ishq wala love,پيار ۽ لفافي نه
ishq junoon,پيار جو جذبو
ishq baaz,ترڪ ڪرڻ
wins the race,ڊوڙندو آهي
walk on grass,گاهه تي چڙهو
good for the body.,جسم لاءِ سٺو آهي.
Barefoot Walking,ننگا پير هلڻ
propose day,ڏينهن جو تجويز ڪيو
Propose my crush,منهنجي ڪرش پيش ڪرڻ
keep calm,خاموش رهو
carry on,جاري رکو
putaikhane,رنگن وارا برش
keep quiet,چپ رهه
shhhhhh,ڇهه
geniues at work,جينيس ڪم تي
angrybird,ڪاوڙيل
I;am,آئون آهيان
so Angry,ڏا Angو ناراض
with you,توهان سان
chup kr ke kaam kro,چپ ڪر ۽ ڪم ڪيو
moodoff,موڊاف
so stay away,پوءِ پري رهو
Dekh Chotte,نوجوان ڏسي رهيو آهي
Chup kr ab,هاڻي چپ ڪر
Bc chup kr ja,بس چپ سڏي
chup kr chandraprakash,خاموشي ۾ چنڊ جي روشني
Chup Kr Saale,خاموش دوست
chup kr bhai warna,خاموش ڀاءُ ڀاءُ
Bhaad mein ja,مڙي وڃڻ
boys hair,ڇوڪرا وار
adult boy,بالغ ڇوڪرو
full body hair,مڪمل جسم جا وار
veet,Veet
blackkurta,ڪارو ڪرتا
blackpants,ڪڙيون
whitekurta,whitekurta
pullover,پل اوور
bluescarf,بليو اسڪرف
jeans,جينس
hockeystick,هاڪي اسٽڪ
blackblazer,بليڪ بليزر
orangeshirt,نارنگي شيٽ
greenbook,گرين بڪ
redbook,ريڊ بڪ
sheets,چادرون
yellowmattress,پيلو ميٽرن
greentie,Greentie
yellowsaree,ييلوسويئر
redsaree,ٻيهر واپار
necklace,هارون
whitepyjama,اڇو پاجاما
blackshirt,ڪاري ڪوٽ
policesuit,پوليس وارو
redyellowsuit,ٻيهر نظريو
redstole,رِسٽ اسٽول
plates,پليٽون
blacksalwar,ڪاريگر
blackcostume,ڪارو لباس
brownkurta,brownkurta
brownbag,ناسي بيگ
longhairs,ڊگھا چهرا
redcape,ڳاڙهو منظر
dollars,ڊالر
redbag,ريڊ بيگ
bargraph,بار گراف
dartboard,ڊارٽ بورڊ
bluewhitedart,بلو لائيٽ
holikheltehai,هوليليليه
holihai,هوليائي
heartglasses,دليون
redheart,دل ڏياريندڙ
rangbarse,rangbarse
abtohtugaya,نسب
abtohtugya,abtohtugya
tutohgya,اسين ڪنداسين
orangebucket,اوري بڪڪٽ
heartsglasses,دليون
colourful,رنگا رنگ
whitesalwar,اڇيئلور
whitekameez,whitekameez
chunchunke,چون چوڪي
chunchunkerangoongi,چنانچن ڪي رنگون جي
bhangwalicheers,ڀونگالوڪيئر
bhangkiglass,ڀونچي گلاس
kabhaiholi,ڪڏهن
when'sholi?,جڏهن جي ٿولهي آهي؟
whenisholi?,جڏهن؟
kehkemaarunga,غريب زمين
colorfulwater,رنگين پاڻي
terakyahogare,terakyahogare
terakyahoga,terakyahoga
redheels,ڳاڙھو ہیلس
wahhkyamakeuphai,هن هيلو ڏنو
haha!,جي ہا!
aarti,آاري
aartikithali,ائرٽيڪٿلي
pooja,pooja
whiteshort,whiteshort
redmask,ٻيهر ٺهرايو
blackeyes,ڪاريون
redbalcksuit,ريڊ بلڪڪوٽ
redblacksuit,ڳاڙھو گهٽجڻ
redandblacksuit,ريڊ بليڪ بلٽ
thor,پڇ
whiteblouse,اڇو بلاؤز
blueblazer,نيري blazer
greyskirt,گريڪسڪٽر
blackheels,ڪاري ہیلس
supermansuit,سپرمانسوٽ
musclular,مشڪور
batmansuit,batmansuit
redandyellowtop,ڳاڙھو ۽ پيلو جو مٿو
shield,shieldال
greensuit,سائي ساٿي
greendrink,گرين لنڪ
greenglass,گرين گلاس
goldcoins,سون جي کوٽا
greenbow,گرينڪو
greenpants,گرين ڪميون
redandwhitesocks,ڳاڙهو ۽ اڇا
bucketofwater,بڪٽو پاڻي
yellowshorts,ييلوش شارٽس
posing,ظاهر ڪرڻ
greenballoon,گرين بالون
redballoon,ريڊ بالون
greendupatta,گرينپيٽا
yellowkameez,پيلوجيمز
yellowkurta,پيلو ڪرتو
yellowpyjama,پيلويپاما
greytop,گريوٽوپ
redboxinggloves,ريڊ بڪس ٻليون
pinklaptop,گلابي ليپ ٽاپ
redtishirt,ڳاڙهي رنگ وارو
bluebag,بلو بلگ
bluebottle,بليو بائيٽ
skybag,اسڪائي باڪس
orangebag,اورنگيب
pinkumbrella,گلابي اڳواڻ ايمن الظواهري
yellowslingbag,ييلوسوگلباگ
blueshort,بلو شارٽ
borwnbag,ناسي بيگ
redtrolleybag,ريڊوليلي بيڪ
yellowshoes,ييلوشوز
greenandbluebag,گرين بينڊ بليگ
yellowbag,پيلو بيگ
blueslingbag,بليوزنگ بيگ
greenbackpack,گرين بيڪ بيڪ
redcup,ريڊڪ
lavenderdress,آڪاش
greensaree,گرينسري
redboots,ڳاڙھا بوٽ
greyjacket,ڀوري جيڪٽ
greypant,خانه بدوش
blacktie,ڪاري ٽاء
whitehsirt,اڇي شرٽ
orangejacket,اوريجيڪٽ
yellowshades,يليسوداحاد
redcurtain,ڳاڙهو پردو
redribbon,راداربن
brownbox,برائون بڪس
silverlaptop,سلور ليپ ٽاپ
whitesuit,اڇو سوٽ
yellowjacket,پيلوجڪيٽ
bluetshrit,بلو مارڪيٽ
blackjumpsuit,ڪارو جمپٽ
batminton,بيڊ منٽن
greenhandbag,گرين هينڊ بيڪ
yellowhandbag,پيلو دستي ٿيلهو
moutain,موتين
armywear,فوجي ڪپڙا
penny,پئسو
amy,ايم
